,rank,name,industry,main market,2010 rank
378,379,Aquarius,Sports Drink,"Japan, Malaysia",357
379,380,Nippon Oil Corporation,Petrol/Gas Station,Japan,New entry
380,381,American Express,Credit Card,Regional,425
381,382,Orion,Snack Food,"Korea, China",438
382,383,Tipco,Fruit Juice,Thailand,356
383,384,Reliance (RIL),Pharmacy/Drugstore,"India, Malaysia",492
384,385,3,Mobile Service Provider,Hong Kong,352
385,386,Bioré,Skincare Product,Regional,280
386,387,Orkut,Social Networking Site,"Australia, India",416
387,388,Aekyung 2080,Toothpaste,Korea,631
388,389,Anlene,Milk Powder,Singapore,354
389,390,Aeon,Supermarket,Japan,495
390,391,Bally,Men’s Shoes,"Japan, China",422
391,392,Gloria Jeans,Coffee Shop,"Australia, Singapore",409
392,393,Gree,White Goods,China,310
393,394,Kwality,Ice-cream,India,496
394,395,Celcom,Mobile Service Provider,Malaysia,418
395,396,Mother Dairy,Milk,India,273
396,397,China Eastern Airlines,Full-service Airlines,China,421
397,398,China Construction Bank,Bank,China,458
398,399,Cass,Beer,Korea,435
399,400,SF Express,Courier Company,China,717
400,401,Kanebo,Cosmetics,"Japan, Taiwan",257
401,402,Chow Sang Sang,Jewellery,"China, Hong Kong",372
402,403,Foremost,Milk,Thailand,238
403,404,Spritzer,Mineral Water,Malaysia,419
404,405,Ferrari,Car/Automobile,Regional,610
405,406,Doutor,Coffee Shop,Japan,388
406,407,Formosa Petrochemical,Petrol/Gas Station,Taiwan,384
407,408,Hush Puppies,Men’s Shoes,Regional,417
408,409,Boss,Fragrance/Men’s Fashion Retailer,Regional,240
409,410,VIPS,Restaurant Chain,Korea,529
410,411,Bajaj,Motorcycle,India,563
411,412,Nestea,Tea,Regional,989
412,413,Schweppes,Mineral Water/Carbonated Soft Drink,Hong Kong,462
413,414,M1,Mobile Service Provider,Singapore,463
414,415,Carrier,Air Conditioner,"China, Southeast Asia",570
415,416,Halls,Sweets and Candy,"Southeast Asia, Japan",648
416,417,Boh,Tea,"Malaysia, Singapore",209
417,418,MUFG,Bank,Japan,568
418,419,MK suki,Restaurant Chain,Thailand,503
419,420,Sugus,Sweets and Candy,"China, Southeast Asia",279
420,421,Ghana,Chocolate,Korea,415
421,422,AU,Mobile Service Provider,Japan,311
422,423,Macleans,Toothpaste,Australia,798
423,424,Crest,Toothpaste,"China, Hong Kong",455
424,425,Close up,Toothpaste,"India, Southeast Asia",777
425,426,Whiskas,Pet Food,Regional,285
426,427,Mead Johnson,Milk Powder,"China, Southeast Asia",404
427,428,Maruti,Car/Automobile,India,413
428,429,POSB,Bank,Singapore,607
429,430,ANZ,Bank,Australia,487
430,431,Abbott,Milk Powder,"China, Singapore",497
431,432,Van Houten,Chocolate,Regional,466
432,433,T-cat,Courier Company,Taiwan,519
433,434,Motorola,Mobile Phone,Regional,293
434,435,Indian Oil Corporation,Petrol/Gas Station,India,642
435,436,Crocodile,Men’s Fashion Retailer,Regional,349
436,437,Pizza Hut,Restaurant Chain,Regional,135
437,438,Real,Fruit Juice,"Australia, India",586
438,439,Xiaonei/Renren,Social Networking Site,China,New entry
439,440,Dentyne,Chewing/Bubble Gum,"Malaysia, Thailand",398
440,441,Four Seasons,Hotel,Regional,673
441,442,Peters,Ice-cream,Australia,450
442,443,TNT,Courier Company,Regional,572
443,444,Budweiser,Beer,Regional,521
444,445,Berri,Fruit Juice,"Australia, Singapore",523
445,446,Ben & Jerry’s,Ice-cream,Singapore,555
446,447,Commonwealth,Bank,Australia,498
447,448,Tata,Automobile,India,256
448,449,Doll,Instant Noodles,"China, Hong Kong",509
449,450,Mobil,Petrol/Gas Station,"Australia, Hong Kong",516
450,451,Taiwan Mobile,Mobile Service Provider,Taiwan,307
451,452,Amore Pacific,Cosmetics,Korea,319
452,453,Jet Airways,Full-service Airlines,"India, Hong Kong",408
453,454,SYM,Motorcycle,Taiwan,451
454,455,Kikkoman,Sauce/Condiment,"Australia, Singapore",526
455,456,Kowloon Dairy,Milk,Hong Kong,493
456,457,Walmart,Supermarket,"China, India, Southeast Asia",543
457,458,Zipel,White Goods,Korea,470
458,459,Oral B,Toothpaste,"Australia, Southeast Asia",581
459,460,Compaq,Computer,Regional,430
460,461,Dreyer’s,Ice-cream,Hong Kong,601
461,462,Firefly,Budget Airlines,Malaysia,518
462,463,Kymco,Motorcycle,Taiwan,459
463,464,Guess,Watch,Southeast Asia,410
464,465,Golden Mountain,Sauce/Condiment,Thailand,New entry
465,466,IGA,Convenience Store/Supermarket,Australia,659
466,467,Cathay Life,Insurance,Taiwan,New entry
467,468,MAC,Cosmetics,Regional,385
468,469,Perrier,Mineral Water,Regional,434
469,470,Korea Express,Courier Company,Korea,New entry
470,471,Calbee,Snack Food,"China, Southeast Asia",221
471,472,Cyworld,Social Networking Site,Korea,449
472,473,Wyeth,Milk Powder,"China, Southeast Asia",392
473,474,Clinic,Shampoo,India,802
474,475,Hanjin,Courier Company,Korea,New entry
475,476,Jeju Air,Budget Airlines,Korea,423
476,477,Air India,Full-service Airlines,India,580
477,478,Korea Post,Courier Company,Korea,New entry
478,479,HL,Milk,"Malaysia, Singapore",571
479,480,Hui Yuan,Fruit Juice,China,347
480,481,Digi,Mobile Service Provider,Malaysia,533
481,482,Shinramyun,Instant Noodles,"Korea, China",574
482,483,85°C,Coffee Shop,Taiwan,456
483,484,Lin Fong Ying (LFY),Milk,Taiwan,584
484,485,Salvatore Ferragamo,Women’s Shoes,"Hong Kong, Japan",553
485,486,Donna Karan (DKNY),Fragrance/Watch,Regional,443
486,487,Godrej,Consumer Electronics,India,389
487,488,Zara,Men’s and Women’s Fashion Retailer,Regional,348
488,489,Pauls,Milk,Australia,452
489,490,Hero Honda,Motorcycle,India,365
490,491,Myojo,Instant Noodles,India,589
491,492,Westpac,Bank,Australia,549
492,493,Vaseline,Female Skincare Product,Regional,550
493,494,Nissay,Insurance,Japan,New entry
494,495,Top Ramen,Instant Noodles,Korea,545
495,496,Hungry Jack’s,Fast-Food,Australia,800
496,497,Neutrogena,Female Skincare Product,Regional,414
497,498,Fairwood,Fast-Food,"China, Hong Kong",617
498,499,Chupa Chups,Sweets and Candy,"Australia, Hong Kong",622
499,500,Peninsula,Hotel,Regional,556
500,501,Matsumoto Kiyoshi,Pharmacy/Drugstore,Japan,330
501,502,Li Ning,Sporting Apparel,"China, Hong Kong",468
502,503,Twisties,Savoury Snack Food,Regional,485
503,504,Bear Brand,Milk/Milk Powder,Thailand,794
504,505,My space,Social Networking Site,Regional,504
